Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Utilities.csv_Open,S&P 500 Utilities.csv_High,S&P 500 Utilities.csv_Low,S&P 500 Utilities.csv_Close,S&P 500 Utilities.csv_Volume,S&P 500 Utilities.csv_Dividends,S&P 500 Utilities.csv_Stock Splits,S&P 500 Utilities.csv_Capital Gains
2019.12.12,2019.12.12,7307.96,7105.35,7212.01,28003.83,201666958.3,7199.39,direct,557081166.9,1360255986.0,1917337153.0,1053997535.0,2149887745.0,3203885281.0,4134293048.0,9875682311.0,14009975287.0,6243703087.0,54.603771729979,54.82021287471576,54.20552081629451,54.43927764892578,24117100,0.0,0.0,0.0
2019.12.13,2019.12.13,7308.08,7199.39,7199.39,18725.31,135777984.6,7261.72,direct,559219538.3,1188183540.0,1747403078.0,891458841.0,1868532562.0,2759991403.0,3777412620.0,8932859914.0,12710272534.0,5117561448.0,54.46525157380855,54.95873713812098,54.25746661390494,54.863502502441406,19334600,0.0,0.0,0.0
2019.12.16,2019.12.16,7172.46,6869.19,7132.39,39619.58,278223344.1,6897.33,direct,679889613.4,1546806675.0,2226696289.0,1181592017.0,2478805978.0,3660398064.0,4753851308.0,11107962013.0,15861813321.0,7359631199.0,54.863500534908496,55.58208341926905,54.863500534908496,55.54745864868164,20773900,0.0,0.0,0.0
2019.12.17,2019.12.17,6948.12,6585.46,6897.33,46023.51,310739632.4,6635.84,direct,735352069.5,2056591278.0,2791943348.0,1233016977.0,2651598849.0,3884615892.0,4755139956.0,12384513382.0,17139653271.0,7304470490.0,55.58208973436861,56.07557533705212,55.53014596732624,55.72927474975586,16847300,0.0,0.0,0.0
2019.12.18,2019.12.18,7442.26,6450.69,6635.84,71573.09,491429584.5,7294.53,direct,830775480.6,3566702898.0,4397478378.0,1435975280.0,4395484346.0,5831459699.0,7027691351.0,19140226612.0,26167917890.0,10362343214.0,55.772562604414354,56.03229466683692,55.47820576524546,55.95437240600586,12807900,0.0,0.0,0.0
2019.12.19,2019.12.19,7376.98,7057.66,7294.53,34799.1,249541907.2,7159.26,direct,588886506.3,1889832153.0,2478718731.0,1018924211.0,2686068727.0,3704992938.0,4921793583.0,12842304214.0,17764097868.0,6487062044.0,55.95436451100703,56.04959914677392,55.62537633625036,55.97168350219727,16901600,0.0,0.0,0.0
2019.12.20,2019.12.20,7234.56,7094.06,7159.26,23556.25,168963964.6,7203.41,direct,514526178.0,1207047392.0,1721573642.0,879308589.2,1875031271.0,2754339860.0,3755652965.0,9814871448.0,13570524413.0,5193622593.0,55.95510313050563,56.6618538832154,55.95510313050563,56.35646438598633,22971100,0.501,0.0,0.0
2019.12.23,2019.12.23,7694.65,7275.28,7517.58,44770.93,336425000.1,7326.6,direct,529954444.9,2212908900.0,2742863345.0,1081667793.0,3120082284.0,4201750077.0,4433160738.0,15122468803.0,19555629542.0,7572795813.0,56.4524477540968,56.47862913429524,55.68462702279032,55.83295822143555,16478000,0.0,0.0,0.0
2019.12.24,2019.12.24,7429.42,7175.5,7326.6,27770.75,203013413.9,7260.91,direct,462578417.3,1797692620.0,2260271038.0,964446780.4,2684993757.0,3649440610.0,3988941375.0,13058134395.0,17047075770.0,6011291851.0,55.8940295117932,55.937658487084285,55.61482470615598,55.91148376464844,4512800,0.0,0.0,0.0
2019.12.26,2019.12.26,7442.21,7167.44,7202.72,23254.3,169067214.3,7207.23,direct,450612956.6,1459257300.0,1909870256.0,843198918.9,2419572625.0,3262771544.0,3617524377.0,11884769838.0,15502294287.0,5805584919.0,55.963832573056656,56.0598109921279,55.771875734914175,56.00746154785156,6658500,0.0,0.0,0.0
2019.12.27,2019.12.27,7267.46,7061.61,7207.23,25489.38,183588691.2,7253.82,direct,505688963.0,1514311090.0,2020000053.0,906597003.8,2138616404.0,3045213407.0,3842172549.0,11026607077.0,14868779626.0,5290628891.0,56.00746138823888,56.17323684692383,55.90275584313767,56.17323684692383,10301700,0.0,0.0,0.0
2019.12.30,2019.12.30,7414.07,7224.79,7399.49,23030.92,168180498.7,7234.44,direct,486225554.9,1164252247.0,1650477730.0,994763714.3,1519597233.0,2514360947.0,4008311222.0,8968390724.0,12976701946.0,5014443208.0,55.937669160590296,56.17324836431097,55.86786544954407,56.164527893066406,11934300,0.0,0.0,0.0
2019.12.31,2019.12.31,7325.24,7141.94,7234.44,19424.26,140384995.3,7183.88,direct,509108285.4,1046401518.0,1555509804.0,934988519.3,1681635173.0,2616623693.0,3740026778.0,8798321542.0,12538348320.0,5106483872.0,56.15578218122175,56.452437869722914,56.08597849327581,56.38264083862305,10808400,0.0,0.0,0.0
2020.10.12,2020.10.12,11725.28,11223.99,11375.51,41705.77,478557074.7,11539.76,direct,1218374092.0,4008883775.0,5227257867.0,1144406539.0,3134813193.0,4279219731.0,4000270152.0,11815969118.0,15816239269.0,10015678971.0,56.93052300050307,57.63856688896372,56.78712131713519,57.253177642822266,7485100,0.0,0.0,0.0
