Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Real Estate.csv_Open,S&P 500 Real Estate.csv_High,S&P 500 Real Estate.csv_Low,S&P 500 Real Estate.csv_Close,S&P 500 Real Estate.csv_Volume,S&P 500 Real Estate.csv_Dividends,S&P 500 Real Estate.csv_Stock Splits,S&P 500 Real Estate.csv_Capital Gains
2017.12.18,2017.12.18,19221.1,18114.42,19065.71,139251.39,2597510050.0,18972.32,direct,6221767633.0,4097386496.0,10319154129.0,7216911919.0,4821051492.0,12037963222.0,14132241927.0,11683589881.0,25815831808.0,17819354849.0,27.000549336466044,27.16702037566779,27.000549336466044,27.04115104675293,1096400,0.0,0.0,0.0
2017.12.19,2017.12.19,19021.97,16812.8,18971.19,174543.37,3136709262.0,17523.7,direct,7349667238.0,4283567353.0,11633234766.0,8668173557.0,5204003901.0,13872177458.0,16818495143.0,12479736721.0,29298231864.0,21432746281.0,27.04115224228637,27.049274443330003,26.480841181046443,26.52956199645996,1713000,0.0,0.0,0.0
2017.12.20,2017.12.20,17813.6,15642.69,17521.73,227676.13,3791752511.0,16461.97,direct,9211754109.0,5390021348.0,14601775456.0,10580237839.0,6204635348.0,16784873188.0,20677793433.0,14996797712.0,35674591309.0,25806444462.0,26.52955535846194,26.57665605867849,26.237221245989968,26.24534034729004,1431000,0.0,0.0,0.0
2017.12.21,2017.12.21,17301.83,14952.98,16461.09,163735.02,2619295476.0,15632.12,direct,7580079236.0,3995372126.0,11575451362.0,8617419685.0,4542443489.0,13159863018.0,16979664238.0,10998938776.0,27978603014.0,19959151000.0,26.31030812266519,26.32654632685404,26.10729649547707,26.1560173034668,1218500,0.0,0.0,0.0
2017.12.22,2017.12.22,15823.72,10875.71,15632.12,466980.6,6245731508.0,13664.97,direct,7192768767.0,8922790044.0,16115558811.0,8154825563.0,10129691400.0,18284516962.0,16071152168.0,23116701380.0,39187853547.0,27779090209.0,26.19662219672899,26.359032137782368,26.147901382811355,26.326549530029297,1012800,0.0,0.0,0.0
2017.12.26,2017.12.26,16094.67,13748.49,13830.19,143135.26,2198577125.0,15756.56,direct,5517221407.0,3668851655.0,9186073062.0,6410702657.0,4208716149.0,10619418963.0,12541000627.0,10031859835.0,22572860461.0,13305680822.0,26.34278757950793,26.513319700287973,26.29406677160929,26.46459579467773,811600,0.0,0.0,0.0
2017.12.27,2017.12.27,16514.59,14534.66,15757.02,138705.28,2162831129.0,15416.64,direct,4809906580.0,3487617822.0,8297524402.0,5759671350.0,4021571915.0,9781243264.0,11170563882.0,9757640697.0,20928204579.0,13179444111.0,26.52955892171866,26.61888453657348,26.488957214342392,26.57016372680664,4420200,0.0,0.0,0.0
2017.12.28,2017.12.28,15505.51,13466.07,15416.34,170366.63,2425912718.0,14398.7,direct,4403295244.0,3901819049.0,8305114437.0,5174723451.0,4454925815.0,9629649266.0,10124523226.0,10831125606.0,20955648832.0,13053347098.0,26.59452374472292,26.732570167335908,26.52143943342437,26.72445106506348,1133100,0.0,0.0,0.0
2017.12.29,2017.12.29,15109.81,13951.08,14398.45,118874.63,1733583750.0,14392.57,direct,6118030788.0,2720067060.0,8838097993.0,6934034816.0,3161094553.0,10095129369.0,13648151594.0,7674693451.0,21322845045.0,14620496496.0,26.765053024211426,26.83001823385008,26.69196871222378,26.74881172180176,925600,0.0,0.0,0.0
2018.10.10,2018.10.10,6633.22,6487.86,6631.79,49264.39,323664963.2,6581.07,direct,727552095.9,825263479.8,1552815576.0,1500399656.0,1431373906.0,2931773563.0,3054194956.0,4778807192.0,7833002214.0,61188544452.0,26.78950494696793,26.914379607672625,26.43985939025879,26.43985939025879,4361500,0.0,0.0,0.0
