Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Healthcare.csv_Open,S&P 500 Healthcare.csv_High,S&P 500 Healthcare.csv_Low,S&P 500 Healthcare.csv_Close,S&P 500 Healthcare.csv_Volume,S&P 500 Healthcare.csv_Dividends,S&P 500 Healthcare.csv_Stock Splits,S&P 500 Healthcare.csv_Capital Gains
2021.11.23,2021.11.23,57873.77,55485.59,56303.06,37871.22,2153848949.0,57566.6,direct,5450555361.0,19244877625.0,24695433562.0,4301661882.0,12827616137.0,17129277443.0,11120885609.0,33389551944.0,44510437553.0,64706457024.0,126.6577390627204,127.52294735189658,126.27320530509158,127.38835906982422,12075200,0.0,0.0,0.0
2021.11.24,2021.11.24,57740.34,55899.88,57566.6,28738.13,1630017074.0,57175.09,direct,6521046000.0,16524528390.0,23045574390.0,5103371919.0,10446947826.0,15550319744.0,12810919960.0,28370770220.0,41181690180.0,65657429693.0,127.14801235073628,127.57100825409223,126.70580002924336,127.34029388427734,6760800,0.0,0.0,0.0
2021.11.26,2021.11.26,59201.95,53575.54,58966.99,60064.72,3312563228.0,53788.22,direct,6959420042.0,20374128958.0,27333549000.0,5214247797.0,13596989663.0,18811237460.0,14141929416.0,38962601429.0,53104530845.0,78781120280.0,127.80172653584846,128.55157751267487,126.4269899656532,126.86921691894533,11896900,0.0,0.0,0.0
2021.11.29,2021.11.29,58898.57,56752.37,57331.41,29291.8,1690005716.0,57839.55,direct,4713584964.0,16745125807.0,21458710771.0,3432863473.0,10558583246.0,13991446720.0,9623213612.0,41731977985.0,51355191596.0,51427545982.0,127.5613647534828,128.07087840455569,127.08069039065803,127.21527862548828,17137100,0.0,0.0,0.0
2021.11.30,2021.11.30,59226.33,55931.33,57839.55,41466.86,2383744473.0,56975.35,direct,5895120956.0,18581709329.0,24476830285.0,4258583793.0,12211768911.0,16470352703.0,11569028848.0,67910472813.0,79479501661.0,64529991975.0,126.48467519744806,127.06147570586236,124.5331235370394,124.71578216552734,19467000,0.0,0.0,0.0
2021.12.10,2021.12.10,50047.85,46989.42,47593.85,39527.74,1905617871.0,47191.14,direct,4109426651.0,16943144006.0,21052570657.0,3076867519.0,10718298526.0,13795166045.0,8182318393.0,131766000000.0,139949000000.0,49858105749.0,128.59004367131487,129.64753349412254,128.53236507534763,129.37835693359375,8554300,0.0,0.0,0.0
2021.12.13,2021.12.13,50215.42,45800.52,50109.99,49444.13,2353893179.0,46731.03,direct,3529790499.0,17738883091.0,21268673590.0,2595239528.0,11545787449.0,14141026977.0,6955901665.0,117269000000.0,124225000000.0,49005916167.0,129.37832605440744,130.96454574100787,129.37832605440744,130.5992431640625,12201800,0.0,0.0,0.0
2021.12.14,2021.12.14,48665.63,46320.4,46731.03,34838.49,1646492085.0,48387.69,direct,3742193621.0,16355527936.0,20097721556.0,2775294831.0,10174419092.0,12949713923.0,7518074267.0,108279000000.0,115797000000.0,45632815258.0,129.99360119093447,130.7530603778446,129.42640885282256,130.0705108642578,11070800,0.0,0.0,0.0
2021.12.15,2021.12.15,49499.91,46562.1,48387.69,44270.94,2132679583.0,48885.05,direct,3976052343.0,18997647514.0,22973699856.0,2908856504.0,12186975015.0,15095831519.0,7930618240.0,133169000000.0,141099000000.0,52054570390.0,130.34930346278122,132.80074627273805,130.23394628034316,132.73345947265625,14996300,0.0,0.0,0.0
2021.12.16,2021.12.16,49451.4,47546.15,48885.05,26205.68,1271265805.0,47635.92,direct,3338842123.0,12341326944.0,15680169068.0,2421642971.0,7628796840.0,10050439811.0,6735988707.0,123358000000.0,130094000000.0,38456283861.0,132.72380728558275,134.1946697129444,132.48347009589597,133.521728515625,19227500,0.0,0.0,0.0
2021.12.17,2021.12.17,48004.37,45505.02,47635.92,37546.89,1756062774.0,46164.14,direct,3778689047.0,17204238879.0,20982927926.0,2751993034.0,10781066155.0,13533059189.0,7764311160.0,131273000000.0,139038000000.0,49306659038.0,132.8488016987216,133.66593943069816,132.07011146688882,132.5892333984375,21504200,0.0,0.0,0.0
2021.12.20,2021.12.20,47495.72,45586.49,46697.13,32678.5,1517599334.0,46913.54,direct,3770093111.0,16337598552.0,20107691663.0,2543879669.0,10029459470.0,12573338670.0,7322942286.0,81770926985.0,89093869270.0,45268017091.0,132.31709269909533,132.72240913412122,130.6475718469997,131.78631591796875,16185700,0.528,0.0,0.0
2021.12.21,2021.12.21,49334.04,46661.88,46913.54,31921.06,1546447525.0,48917.48,direct,3417899548.0,14445830802.0,17863730350.0,2358424221.0,9143226355.0,11501650576.0,6766075055.0,74366922731.0,81132997787.0,38947953269.0,132.16271028628114,132.3943260377743,130.93710086339792,132.33642578125,10773400,0.0,0.0,0.0
2021.12.22,2021.12.22,49581.41,48460.43,48917.48,20998.03,1028434929.0,48614.97,direct,4025569397.0,11610688978.0,15636257888.0,2756120716.0,6875795082.0,9631916284.0,7643879036.0,96758339302.0,104402000000.0,40226280940.0,132.26887213525066,133.9576984183369,132.03727109782406,133.8804931640625,7246000,0.0,0.0,0.0
2021.12.23,2021.12.23,51382.88,48062.25,48614.97,30734.43,1525047125.0,50830.2,direct,4467874953.0,14192277777.0,18660152730.0,3183894951.0,8916819214.0,12100714166.0,8623891888.0,119332000000.0,127955000000.0,48679863462.0,134.22789164470862,134.8648238639569,133.8322202910488,134.43055725097656,7743800,0.0,0.0,0.0
2021.12.27,2021.12.27,52079.46,50481.26,50790.88,21873.37,1120188137.0,50714.73,direct,3844445829.0,11556485719.0,15400931548.0,2702560576.0,7242032001.0,9944592577.0,7614400342.0,101818000000.0,109433000000.0,38457949425.0,134.91304326385534,135.84913635253906,134.76827794759217,135.84913635253906,6968900,0.0,0.0,0.0
2021.12.28,2021.12.28,50718.53,47317.78,50714.73,40699.4,1985905082.0,47536.39,direct,3963422099.0,15029188251.0,18992610350.0,2805410920.0,9944940314.0,12750351234.0,7756256535.0,112896000000.0,120653000000.0,50315034129.0,135.97463299058535,136.21589388285068,135.1350497976288,135.4921112060547,6065900,0.0,0.0,0.0
2021.12.29,2021.12.29,48145.34,46107.79,47536.39,33749.8,1599557105.0,46471.7,direct,3512115457.0,13575118288.0,17087234210.0,2506200657.0,8709388629.0,11215589287.0,6999735217.0,131984000000.0,138984000000.0,43047553147.0,135.35697129941872,136.54398519001364,135.2604758022711,136.2641143798828,7103600,0.0,0.0,0.0
2021.12.30,2021.12.30,47917.89,45964.28,46471.7,39311.18,1852206857.0,47129.66,direct,2892200661.0,12511174806.0,15403375467.0,2045665720.0,8123887010.0,10169552730.0,8051065087.0,133877000000.0,141928000000.0,36671663853.0,136.51504096593297,137.0168529137214,136.37027562586877,136.5439910888672,7931700,0.0,0.0,0.0
