time,high,low,open,volumefrom,volumeto,close,conversionType,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
2013.6.19,110.99,104.66,107.35,17421,1879212.32,108.25,direct,0,2306.81,2306.81,0,56978.47,56978.47,0,329060.52,329060.52,56978.47
2013.6.20,114.48,107.12,108.25,42909.53,4774161.1,111.29,direct,0,5410.92,5410.92,0,69221.27,69221.27,0,657745.05,657745.05,69221.27
2013.6.21,115.01,107.56,111.29,37916.61,4221551.74,109.5,direct,0,26601.93,26601.93,0,77588.42,77588.42,0,712819.82,712819.82,77588.42
2013.6.22,109.96,107.51,109.5,7196.65,781056.97,108.2,direct,0,68019.93,68019.93,0,105665.96,105665.96,0,357418.14,357418.14,105665.96
2013.6.23,109,106.2,108.2,10974.21,1179572.74,107.9,direct,0,46645.17,46645.17,0,82120.53,82120.53,0,310880.4,310880.4,82120.53
2013.6.24,108.33,100.76,107.9,28755.72,2970209.43,102.1,direct,0,52626.42,52626.42,0,101976.46,101976.46,0,785840.22,785840.22,101976.46
2013.6.25,109.98,100,102.1,93495.87,9737161.74,103.33,direct,0,51018.15,51018.15,0,115642.8,115642.8,0,691786.08,691786.08,115642.8
2013.6.26,105.49,101.83,103.33,13074.01,1361155.01,104,direct,0,43970.16,43970.16,0,87131.2,87131.2,0,425013.68,425013.68,87131.2
2013.6.27,104,100.06,104,14516.46,1481838.89,101.74,direct,0,39620.61,39620.61,0,119560.78,119560.78,0,475181.76,475181.76,119560.78
2013.6.28,101.79,92.25,101.74,47455.09,4594020.57,94.66,direct,0,33639.32,33639.32,0,122585.65,122585.65,0,1337591.24,1337591.24,122585.65
2013.6.29,100.44,93,94.66,25419.63,2457873.24,95,direct,0,31317.7,31317.7,0,64408.1,64408.1,0,430805.05,430805.05,64408.1
2013.6.30,98.12,93.85,95,8488.32,822038.9,97.51,direct,0,51612.04,51612.04,0,75972.97,75972.97,0,298467.38,298467.38,75972.97
2013.7.1,98.18,86.01,97.51,52796.2,4817325.36,88.05,direct,0,56958.66,56958.66,0,152714.8,152714.8,0,855601.22,855601.22,152714.8
2013.7.2,92.57,87.51,88.05,27396.38,2466507.43,90.51,direct,0,52514.81,52514.81,0,148822.88,148822.88,0,614775.6,614775.6,148822.88
2013.7.3,91.2,76,90.51,73017.06,6073317.69,78.89,direct,0,44168.14,44168.14,0,157292.46,157292.46,0,1396184.18,1396184.18,157292.46
2013.7.4,84.27,72,78.89,63440.37,4966499.64,80.2,direct,0,47849.73,47849.73,0,121069.12,121069.12,0,1117573.37,1117573.37,121069.12
2013.7.5,80.6,65.42,80.2,90767.53,6454413.42,68.5,direct,0,37584.58,37584.58,0,119207.81,119207.81,0,1267682.92,1267682.92,119207.81
2013.7.6,75,66.81,68.5,40793.42,2866037.15,69.66,direct,0,34580.62,34580.62,0,97400.7,97400.7,0,449013.73,449013.73,97400.7
2013.7.7,77,66.6,69.66,42847.02,3032307.79,76.5,direct,0,44259.84,44259.84,0,77818.1,77818.1,0,611287.02,611287.02,77818.1
2013.7.8,80,72.46,76.5,58514.64,4503253.45,76,direct,0,44187.92,44187.92,0,131109.12,131109.12,0,871512.52,871512.52,131109.12
2013.7.9,78.3,72.51,76,32217.4,2437106.04,76.7,direct,0,47744.22,47744.22,0,127368.02,127368.02,0,671750.11,671750.11,127368.02
2013.7.10,89.84,75.53,76.7,59672.71,4916740.89,88,direct,0,58712.72,58712.72,0,171565.68,171565.68,0,1122220.88,1122220.88,171565.68
2013.7.11,90.7,85,88,35244.01,3084484.64,88.98,direct,0,53393.34,53393.34,0,155395.56,155395.56,0,725727.11,725727.11,155395.56
2013.7.12,104.17,88,88.98,101213.45,9759561.48,93.99,direct,0,161156.19,161156.19,0,248732.32,248732.32,0,1844933.47,1844933.47,248732.32
2013.7.13,98.32,87.76,93.99,34261.15,3186590.74,98.32,direct,0,152616.24,152616.24,0,194987.24,194987.24,0,716904.21,716904.21,194987.24
2013.7.14,99,92.86,98.32,12218.47,1171458.48,94.42,direct,0,97221.44,97221.44,0,131783.88,131783.88,0,385711.37,385711.37,131783.88
2013.7.15,101.94,93.11,94.42,34121.74,3366165.02,98.89,direct,0,118192.34,118192.34,0,231599.39,231599.39,0,769704.38,769704.38,231599.39
2013.7.16,100.73,96,98.89,15900.43,1560692.7,97.1,direct,0,122982,122982,0,264860.64,264860.64,0,1253735.78,1253735.78,264860.64
2013.7.17,100,96.18,97.1,16680.42,1642097.6,98.5,direct,0,101044.25,101044.25,0,238683.23,238683.23,0,972871.7,972871.7,238683.23
2013.7.18,98.8,86.2,98.5,58919.25,5358091.05,90.07,direct,0,204991.21,204991.21,0,329202.25,329202.25,0,1405609.9,1405609.9,329202.25
2013.7.19,95.2,87.6,90.07,26957.55,2474448.15,92.09,direct,0,136325.43,136325.43,0,250405.6,250405.6,0,804237.63,804237.63,250405.6
2013.7.20,93.1,89.27,92.09,9066,829452.96,89.82,direct,0,59344.97,59344.97,0,126242.91,126242.91,0,403658.27,403658.27,126242.91
2013.7.21,92,88,89.82,8614.05,769333.68,92,direct,0,56319.64,56319.64,0,83126.6,83126.6,0,286292.96,286292.96,83126.6
2013.7.22,92,89.8,92,8215.9,751344.12,91.6,direct,0,59372.37,59372.37,0,209097.15,209097.15,0,735714.71,735714.71,209097.15
2013.7.23,97.13,91.6,91.6,23790.42,2251574.55,95.56,direct,0,81405.65,81405.65,0,231932.72,231932.72,0,1307785.42,1307785.42,231932.72
2013.7.24,95.99,92.3,95.56,13827.2,1304035.34,95.09,direct,0,76840.33,76840.33,0,220534.63,220534.63,0,801420.42,801420.42,220534.63
2013.7.25,97.48,93.57,95.09,21666.37,2086771.46,96.95,direct,0,60652.89,60652.89,0,200445.09,200445.09,0,797024.01,797024.01,200445.09
2013.7.26,97.48,96,96.95,10435.8,1004832.58,96.02,direct,0,65555.73,65555.73,0,192145.62,192145.62,0,686305.83,686305.83,192145.62
2013.7.27,97,93,96.02,14637.48,1383243.82,94.4,direct,0,67799.97,67799.97,0,145187.2,145187.2,0,403831.87,403831.87,145187.2
2013.7.28,100.58,94,94.4,42022.37,4137932.56,98.78,direct,0,68628.39,68628.39,0,114316.12,114316.12,0,912775.6,912775.6,114316.12
2013.7.29,102.85,98.45,98.78,23930.02,2412405.74,101.48,direct,0,117665.05,117665.05,0,311731.34,311731.34,0,1229984.28,1229984.28,311731.34
2013.7.30,107.99,100.47,101.48,26911.77,2793637.02,107.96,direct,0,98215.53,98215.53,0,312271.06,312271.06,0,1485781.15,1485781.15,312271.06
2013.7.31,111.65,103.55,107.96,44785.6,4838033.8,106.21,direct,0,148645.14,148645.14,0,331418.75,331418.75,0,1779850.19,1779850.19,331418.75
2013.8.1,108,103,106.21,13994.49,1473502.4,104,direct,0,117928.72,117928.72,0,342328.48,342328.48,0,983502,983502,342328.48
2013.8.2,108,101.21,104,26584.85,2793208.56,104.5,direct,0,97213.22,97213.22,0,292249.93,292249.93,0,1137445.93,1137445.93,292249.93
2013.8.3,105.89,102,104.5,8342.92,866021.18,104.95,direct,0,111788.54,111788.54,0,221552.6,221552.6,0,545424.1,545424.1,221552.6
2013.8.4,106,103.5,104.95,6101.21,639772.27,105.12,direct,0,79838.64,79838.64,0,150416.21,150416.21,0,385275.31,385275.31,150416.21
2013.8.5,107.77,105,105.12,14507.93,1543737.67,106.72,direct,0,71137.42,71137.42,0,286039.48,286039.48,0,1331288.24,1331288.24,286039.48
2013.8.6,107.5,105.11,106.72,12234.57,1301008.13,106.56,direct,0,74528.06,74528.06,0,303914.45,303914.45,0,929581.49,929581.49,303914.45
2013.8.7,106.96,105.22,106.56,6791.45,719935.22,105.99,direct,0,96722.23,96722.23,0,299357.1,299357.1,0,822167.61,822167.61,299357.1
2013.8.8,106.65,100.96,105.99,23221.29,2397802.03,103.05,direct,0,107760.42,107760.42,0,287938.19,287938.19,0,877867.49,877867.49,287938.19
2013.8.9,105.79,101.94,103.05,10979.39,1133150.53,102.8,direct,0,111488.66,111488.66,0,302477.69,302477.69,0,1030504.21,1030504.21,302477.69
2013.8.10,103.9,102.38,102.8,3411.33,351636.37,103,direct,0,85322.11,85322.11,0,202542.29,202542.29,0,546423.24,546423.24,202542.29
2013.8.11,105.19,102.7,103,7870.9,820721.72,105,direct,0,111163.5,111163.5,0,183436.05,183436.05,0,518269.5,518269.5,183436.05
2013.8.12,108.12,103.5,105,19141.6,2030771.27,106.81,direct,0,121392.77,121392.77,0,353475.95,353475.95,0,985138.54,985138.54,353475.95
2013.8.13,109.64,104.5,106.81,17808.47,1912320.25,109.6,direct,0,119735.81,119735.81,0,388847.65,388847.65,0,1244532.11,1244532.11,388847.65
2013.8.14,115,108,109.6,49406.68,5567652.07,112.56,direct,0,217801.35,217801.35,0,502864.05,502864.05,0,2418183.89,2418183.89,502864.05
2013.8.15,113.32,108.78,112.56,14794.82,1643457.67,109.99,direct,0,311554.37,311554.37,0,540700.94,540700.94,0,1388008.91,1388008.91,540700.94
2013.8.16,112.3,108.21,109.99,12567.48,1378751.98,108.99,direct,0,253793.02,253793.02,0,454431.63,454431.63,0,1202566.23,1202566.23,454431.63
2013.8.17,114,108.23,108.99,12258.66,1373044.65,112.75,direct,0,174768.14,174768.14,0,276443.83,276443.83,0,760784.01,760784.01,276443.83
2013.8.18,114.69,112,112.75,9324.88,1059845.23,113.38,direct,0,184977.2,184977.2,0,281254.96,281254.96,0,959353.53,959353.53,281254.96
2013.8.19,123.75,111.77,113.38,51420.13,6088398.47,118.5,direct,0,246881.72,246881.72,0,611224.19,611224.19,0,2632681.32,2632681.32,611224.19
2013.8.20,123.01,116.82,118.5,23213.86,2803868.53,121.2,direct,0,264735.95,264735.95,0,541128.91,541128.91,0,1770900.47,1770900.47,541128.91
2013.8.21,125,119.68,121.2,29616.91,3637947.82,123.3,direct,0,268390.81,268390.81,0,584391.45,584391.45,0,1961186.37,1961186.37,584391.45
2013.8.22,124.49,120.54,123.3,12815.39,1563933.74,122,direct,0,290667.44,290667.44,0,565738.4,565738.4,0,1451531.6,1451531.6,565738.4
2013.8.23,122,118.44,122,18231.25,2180668.6,118.51,direct,0,301033.18,301033.18,0,599898.81,599898.81,0,1602110.62,1602110.62,601049.54
2013.8.24,121.39,118.02,118.51,8370.82,1001638.16,119.6,direct,0,269812.82,269812.82,0,397241.83,397241.83,0,1022566.84,1022566.84,397306.42
2013.8.25,122.99,119.14,119.6,7101.52,864221.29,122.11,direct,0,200564.45,200564.45,0,295734.55,295734.55,0,760063.93,760063.93,295859.1
2013.8.26,122.97,119.92,122.11,10115.28,1226894.28,120.11,direct,0,177116.61,177116.61,0,441490.73,441490.73,0,1326873.19,1326873.19,441532.77
2013.8.27,133,120,120.11,52815.73,6753064.35,131.29,direct,0,313040,313040,0,651554.2,651554.2,0,2958436.34,2958436.34,652674.1
2013.8.28,131.72,128.02,131.29,11556.09,1498911.33,128.76,direct,0,287114.2,287114.2,0,600512.18,600512.18,0,1720964.96,1720964.96,601368.43
2013.8.29,131.2,128.18,128.76,7362.92,950327.42,129.3,direct,0,219643.2,219643.2,0,489392.74,489392.74,0,1446277.39,1446277.39,490062.52
2013.8.30,142.76,128.56,129.3,44989.75,6130666.31,138.03,direct,0,225971.67,225971.67,0,557565.28,557565.28,0,2727300.26,2727300.26,557690.89
2013.8.31,148.7,135.89,138.03,30617.8,4379539.86,141,direct,0,327686.82,327686.82,0,506067.33,506067.33,0,2166187.23,2166187.23,506756.82
2013.9.1,147.29,141,141,13933.38,2012831.97,146.01,direct,0,547959.47,547959.47,0,634737.59,634737.59,0,1856734.7,1856734.7,634858.78
2013.9.2,148.5,142.11,146.01,10444.51,1515953.55,144,direct,0,385560,385560,0,640978.56,640978.56,0,2185407.36,2185407.36,641580.48
2013.9.3,148.91,142.2,144,15761.47,2289067.06,144,direct,0,421247.52,421247.52,0,815783.04,815783.04,0,2375184.96,2375184.96,816269.76
2013.9.4,145.8,130.09,144,27617.96,3789771.82,132.51,direct,0,483926.52,483926.52,0,816020.43,816020.43,0,2391017.07,2391017.07,818050.49
2013.9.5,137.97,127.24,132.51,25687.39,3388171.05,130.2,direct,0,708853.07,708853.07,0,1028982.32,1028982.32,0,2698362.45,2698362.45,1032735.98
2013.9.6,134,121.9,130.2,18159.82,2306510.21,121.9,direct,0,418277.91,418277.91,0,678558.79,678558.79,0,1865141.92,1865141.92,681676.99
2013.9.7,131.02,121.25,121.9,13551.3,1711444.13,128.99,direct,0,383429.22,383429.22,0,534808.02,534808.02,0,1387344.21,1387344.21,535358.81
2013.9.8,129.87,124.06,128.99,7127.43,898013.73,126.32,direct,0,132860.85,132860.85,0,235446.58,235446.58,0,639254.99,639254.99,235886.18
2013.9.9,137.48,124,126.32,28172.62,3713063.37,133.1,direct,0,195799.42,195799.42,0,539918.82,539918.82,0,1851327.83,1851327.83,540677.49
2013.9.10,136.02,131.38,133.1,7833.1,1046934.17,132.62,direct,0,321209.62,321209.62,0,652756.97,652756.97,0,1671675.1,1671675.1,653455.87
2013.9.11,145.9,127.5,132.62,40468.78,5561047.26,142.1,direct,0,277515.62,277515.62,0,624157.2,624157.2,0,2183909.32,2183909.32,625056.69
2013.9.12,145.52,137.51,142.1,19360.48,2726354.36,139.35,direct,0,264824.92,264824.92,0.06968,563045.07,563045.07,0.1394,1623384.3,1623384.3,564256.02
2013.9.13,145.6,137.82,139.35,18892.27,2701141.02,140.66,direct,0,208444.05,208444.05,0,528089.68,528089.68,0,1841820.33,1841820.33,528213.47
2013.9.14,142,136.5,140.66,8361.6,1162873.31,136.71,direct,0,282306.15,282306.15,0.1962,431568.86,431568.86,0.3924,1041385.69,1041387.06,433542.95
2013.9.15,141,135.04,136.71,6197.92,852533.92,138.3,direct,0,206953.5,206953.5,0.4018,312768.22,312768.22,0.8037,763966.43,763967.82,312816.62
2013.9.16,142.23,137.9,138.3,9267.74,1295814.54,139.42,direct,0,303917.48,303917.48,0,647076.1,647076.1,0,1933095.94,1933095.94,647509.7
2013.9.17,141.37,138,139.42,8242.27,1149306.12,139.15,direct,0,349884.33,349884.33,1.725,747133.92,747135.31,3.451,1955463.82,1955466.6,747234.11
2013.9.18,142,139.01,139.15,8189.61,1148501.39,140.41,direct,0,375891.61,375891.61,0.01685,763973.62,763973.62,0.0337,1854597.06,1854597.06,764128.07
2013.9.19,141.2,131.14,140.41,19769.45,2695293.89,135.05,direct,0,129408.96,129408.96,0,468400.67,468400.67,0,2197212.18,2197212.18,468420.93
2013.9.20,137.28,131,135.05,9923.67,1334825.55,133.81,direct,0,360030.52,360030.52,0,648911.6,648911.6,0,1826461,1826461,648951.74
2013.9.21,135.99,132,133.81,4441.25,594385.99,134.38,direct,0,150669.54,150669.54,8.157,305930.85,305940.26,16.31,757423.46,757439.59,305957.73
2013.9.22,135,131,134.38,5570.74,739648.9,134,direct,0,174116.92,174116.92,0,284574.46,284574.46,0,1055893.2,1055893.2,284605.28
2013.9.23,135,132,134,4464.49,596235.7,133.4,direct,0,166247.08,166247.08,0,552317.35,552317.35,0,1386334.15,1386334.15,552983.02
2013.9.24,136.59,132.5,133.4,6929.87,932097.52,134.78,direct,0,308523.55,308523.55,0,734425.65,734425.65,0,1792800.43,1792800.43,734753.17
2013.9.25,138,134.7,134.78,8243.79,1122963.75,135.01,direct,0,321958.35,321958.35,0,660526.97,660526.97,0,1935352.15,1935352.15,661377.54
2013.9.26,139,134.71,135.01,5222.84,712709.65,137.1,direct,0,267542.42,267542.42,0.01788,622335.29,622335.29,0.03577,1537259.8,1537259.8,622435.37
2013.9.27,142.66,134.83,137.1,25900.19,3593626.81,138.93,direct,0,295113.72,295113.72,0.0009058,657609.87,657609.87,0.001812,2552098.25,2552098.25,658161.42
2013.9.28,143,138.02,138.93,12989.28,1827958.48,142.5,direct,0,287299.95,287299.95,0.4714,467913,467913,0.9428,1262675.4,1262676.83,470808.6
2013.9.29,145.81,141.36,142.5,17790.6,2567567.39,143.88,direct,0,364691.2,364691.2,12.95,495587.47,495600.42,25.9,1589353.15,1589379.05,495932.78
2013.9.30,145.81,138.12,143.88,12845.12,1825855.17,141.9,direct,0,343619.36,343619.36,143.6,793181.27,793324.59,287.21,2452057.54,2452344.18,793466.49
2013.10.1,144.44,139.41,141.9,7709.57,1092164.83,140.3,direct,0,206015.12,206015.12,3.141,761768.67,761771.48,6.284,2017104.32,2017109.94,762446.32
2013.10.2,141.93,109.7,140.3,110147.64,13742025.51,123,direct,0,259351.65,259351.65,3.506,653432.58,653436.27,7.011,4759250.07,4759256.22,661195.11
2013.10.3,132,120.1,123,34445.57,4386579.6,130.99,direct,0,458200.4,458200.4,231.98,709775.86,710007.72,463.97,2197882.52,2198346.22,710187.17
2013.10.4,139.8,128.5,130.99,17710.25,2387682.76,136.82,direct,0,429212.55,429212.55,0,710745.7,710745.7,0,2197947.63,2197947.63,710903.04
2013.10.5,138,135.3,136.82,4479.67,611381.98,136.7,direct,0,371394.76,371394.76,7.833,500233.14,500241.35,15.67,1140270.75,1140285.78,501180.48
2013.10.6,138,134.1,136.7,4660.13,634031,137.8,direct,0,206312.78,206312.78,5.264,279990.31,279994.44,10.53,813017.24,813028.27,280008.22
2013.10.7,139,135.12,137.8,7362.35,1006277.91,135.8,direct,0,357949.79,357949.79,2.348,635269.68,635272.4,4.696,1808263.91,1808267.99,636079.05
2013.10.8,137.78,135.65,135.8,5227.21,707471.17,136.49,direct,0,504516.18,504516.18,343.55,808273.31,808617.26,687.09,2042263.02,2042950.93,811478.09
2013.10.9,142.1,135.8,136.49,17494.19,2431349.34,139.5,direct,0,937320.03,937320.03,223.2,1261753.78,1261976.99,446.4,3365371.94,3365818.34,1268640.9
2013.10.10,141.69,138.51,139.5,11075.87,1551392.78,140.41,direct,0,745721.72,745721.72,26.82,1054335.88,1054362.56,53.64,2605959.05,2606012.41,1060921.11
2013.10.11,141.85,138.87,140.41,7250.91,1013106.32,140.1,direct,0,604297.53,604297.53,1227.28,911548.04,912775.32,2454.55,2191518.45,2193973.01,929950.18
2013.10.12,143.05,139.39,140.1,11024.42,1559472.71,142.89,direct,0,444106.41,444106.41,750.17,594380.96,595131.13,1500.34,1676798.43,1678298.78,599362.11
2013.10.13,147.65,141.5,142.89,16167.47,2342049.46,147.53,direct,0,698004.26,698004.26,0,813840.39,813840.39,0,2513564.5,2513564.5,825864.09
2013.10.14,153.69,146.03,147.53,29993.56,4512823.6,151.37,direct,0,1448960.56,1448960.56,14.38,1794091.73,1794105.36,28.76,4925072.71,4925101.47,1799332.16
2013.10.15,158.1,150.62,151.37,15730.1,2416464.87,158.09,direct,0,919438.79,919438.79,6.007,1354127.8,1354132.54,12.01,3449262.95,3449275.6,1359991.36
2013.10.16,162.99,144.2,158.09,42783.96,6636228.59,152.82,direct,0,1138420.36,1138420.36,235.95,1589149.2,1589386.07,471.91,4898911.01,4899381.69,1598877.72
2013.10.17,159.94,150.75,152.82,15875.81,2470394.92,157.59,direct,0,1040448.58,1040448.58,537.22,1369294.78,1369832.16,1074.45,3382888.4,3383961.59,1375467.58
2013.10.18,168.29,156.49,157.59,25893.02,4225505.93,168.28,direct,0,992401.01,992401.01,0,1422913.42,1422913.42,0,4241389.7,4241389.7,1425728.74
2013.10.19,195.8,167.08,168.28,55275.66,10000685.93,183.15,direct,0,2015126.19,2015126.19,0,2332043.46,2332043.46,0,7452943.1,7452943.1,2349259.56
2013.10.20,186.1,177.24,183.15,11418.11,2087108.13,186.1,direct,0,1138641.68,1138641.68,3.164,1298373.18,1298376.9,6.327,2920376.11,2920381.69,1301118.15
2013.10.21,197.37,183.18,186.1,24102.06,4613540.34,192.78,direct,0,1688864.61,1688864.61,8.714,2127261.75,2127269.47,17.43,5397263.59,5397280.94,2152916.92
2013.10.22,205.5,192.79,192.78,33864.61,6761835.59,202.99,direct,0,2112998.02,2112998.02,9.135,2615901.68,2615909.8,18.27,6431545.31,6431563.58,2635433.38
2013.10.23,227.98,200.7,202.99,39894.52,8526441.87,227.97,direct,0,2163191.37,2163191.37,0,2751226.31,2751226.31,0,7961268.65,7961268.65,2782841.19
2013.10.24,233.38,175.3,227.97,96749.13,19649229.29,206.98,direct,0,2145668.52,2145668.52,2396.83,2593896.13,2596292.96,4793.66,10059904.82,10064698.48,2661721.4
2013.10.25,208.97,176.6,206.98,36749.63,6934330.09,197.88,direct,0,1865705.64,1865705.64,0,2267865.08,2267865.08,0,5992681.03,5992681.03,2321957.56
2013.10.26,198.41,186.99,197.88,12085.53,2322934.87,188.56,direct,0,1503822.57,1503822.57,0,1693274.46,1693274.46,0,3714652.74,3714652.74,1705246.13
2013.10.27,207.81,188.95,188.56,13158.09,2633454.44,206.91,direct,0,1264809.79,1264809.79,0,1399893.06,1399893.06,0,3303040.89,3303040.89,1415121.63
2013.10.28,209.79,200.42,206.91,11072.23,2287257.98,206.9,direct,0,1558523.91,1558523.91,51.33,2085841.66,2085891.32,102.68,4741839.72,4741943.17,2106502.69
2013.10.29,216.5,204.2,206.9,10016.58,2119311.77,216,direct,0,1497275.28,1497275.28,0,1967606.64,1967606.64,0,4503258.72,4503258.72,1976879.52
2013.10.30,216.49,203.99,216,13472.97,2853902.33,208,direct,0,1464681.92,1464681.92,25.48,1859266.24,1859291.2,50.94,4754349.6,4754399.52,1876384.64
2013.10.31,214.99,205.43,208,5289.31,1121246.74,211.17,direct,0,1304680.06,1304680.06,131.05,1680978.66,1681109.59,262.06,3798540.74,3798802.59,1694297.15
2013.11.1,214.95,209.71,211.17,5882.59,1251780.71,213.43,direct,0,1135114.65,1135114.65,68.96,1541235.66,1541306.09,137.92,3426471.38,3426610.11,1592894.25
2013.11.2,214.86,211,213.43,4877.16,1041300.28,211.69,direct,0,1134006.39,1134006.39,267.15,1378271.25,1378537.98,534.31,3077024.23,3077557.69,1442792.25
2013.11.3,226.95,212.1,211.69,12274.4,2694954.86,224,direct,0,1139308.8,1139308.8,4495.68,1331395.52,1335891.2,8993.6,3477694.08,3486687.68,1703390.08
2013.11.4,238.98,221.95,224,18057.57,4167915.27,238.16,direct,0,2015762.42,2015762.42,878.1,2708667.51,2709546.32,1756.19,6608878.08,6610635.7,2905909.24
2013.11.5,258.87,229,238.16,45100.26,11094612.74,251.3,direct,0,3022171.5,3022171.5,1864.65,3726188.45,3728053.09,3729.29,10265202.92,10268932.21,3918279.65
2013.11.6,272.52,251.41,251.3,38815.71,10223786.59,264.1,direct,0,4060416.01,4060416.01,259.74,4696897.01,4697155.83,519.48,11220895.93,11221413.57,5127493.58
2013.11.7,324.21,263.6,264.1,86133.24,25582885.97,309.65,direct,0,4778289.66,4778289.66,1176.05,5693865.88,5695042.55,2352.1,16762137.91,16764488.16,7420725.09
2013.11.8,358,308.01,309.65,44632.99,15072022.33,355,direct,7.1,5180078.35,5180085.45,219.28,6160485.4,6160705.5,438.43,15896520.15,15896960.35,7482792.95
2013.11.9,394.99,339.99,355,49910,18427776.08,367.79,direct,0,11161632.07,11161632.07,467.83,11778886.67,11779357.45,935.66,27630723.94,27631661.81,12958635.62
2013.11.10,372.52,289.96,367.79,74252.72,24225281.95,336.32,direct,0,14236307.89,14236307.89,338,14633226.03,14633562.35,676,33568795.38,33569471.39,15754563.99
2013.11.11,375.99,321.41,336.32,17999.67,6330618.38,362.98,direct,0,7028900.8,7028900.8,0.906,7548212.66,7548212.66,1.812,16340005.68,16340009.31,8027103.06
2013.11.12,391.79,358.97,362.98,22027.67,8309810.54,380.04,direct,0,11427837,11427837,1560.44,12327536.1,12329098.06,3120.89,26577804.77,26580924.9,12883812.05
2013.11.13,444.97,372.17,380.04,36015.4,14780190.21,434.85,direct,0,14059370.17,14059370.17,3081.78,15130040.45,15133119.18,6161.82,34007174.64,34013340.82,15744892.25
2013.11.14,447.49,402.54,434.85,31406.18,13453174.7,433.4,direct,39.01,14562270.34,14562309.34,2059.52,15536315.17,15538378.15,4119.03,36364747.72,36368865.02,16445974.09
2013.11.15,457.92,412.97,433.4,28126.4,12273745.93,433.92,direct,0,10086409.65,10086409.65,2793.58,11125170.74,11127965.18,5588.89,25115610.7,25121195.25,11977493.76
2013.11.16,476.94,427.98,433.92,19134.6,8737836.16,461.96,direct,0,12249502.29,12249502.29,88.42,12812853.27,12812941.04,176.84,27493928.21,27494108.37,13313867.36
2013.11.17,536.75,456.98,461.96,26718.7,13340495.56,528.3,direct,0,20407975.42,20407975.42,2104.22,21004246.49,21006354.41,4208.97,45195013.68,45199224.23,21875423.76
2013.11.18,787.93,521.98,528.3,72071.71,45461600.44,785.43,direct,411.96,78252218.11,78252626.53,15119.53,80367522.47,80382642,30239.05,173467580,173497819,100381480.6
2013.11.19,900.92,502.61,785.43,99101.83,69095497.89,645.69,direct,58.02,31299958.34,31300016.46,2923.04,32774940.3,32777865.27,5846.08,81544248.21,81550098.16,47349590.57
2013.11.20,649.99,453.29,645.69,91594.45,50748177.23,637.97,direct,12.76,55376542.42,55376555.18,1330.81,56600998.25,56602331.6,2661.61,126454910.9,126457577.7,67698320.52
2013.11.21,784.32,595.19,637.97,38732.06,27128283.04,764.91,direct,22.95,41476342.16,41476365.1,4774.57,42879753.13,42884526.17,9546.08,94005228.41,94014782.14,50820926.36
2013.11.22,821.99,682.28,764.91,30150.23,22686962.77,802,direct,616.42,37209351.4,37209960.92,3564.89,38518560.26,38522129.16,7129.78,81502367.8,81509497.58,44558975.64
2013.11.23,890.03,799.54,802,21314,17908081.43,832.5,direct,37.46,30903906.83,30903940.13,713.95,31862697.08,31863413.03,1427.74,68594728.28,68596160.18,44305999.65
