Date,open,high,low,close,volume
2020-05-16,9307.43,9590,9216.08,9389.07,6170.096097
2020-05-17,9377.79,9894.88,9326.53,9665.7,9515.79358
2020-05-18,9672.95,9966.12,9451.2,9721.91,12362.32764
2020-05-19,9730,9903.89,9455.05,9787.65,12149.68535
2020-05-20,9776.3,9843.87,9100,9516.51,12351.42818
2020-05-21,9505.61,9573.29,8800,9062.47,16879.82891
2020-05-22,9062.25,9272.97,8924.91,9171.96,7261.284197
2020-05-23,9171.96,9316.12,9084.83,9183.46,3477.278509
2020-05-24,9183.93,9310.91,8669,8718.77,8855.477633
2020-05-25,8710.12,8984.16,8630,8903.56,8919.92379
2020-05-26,8903.22,9012,8690,8840.91,5923.005237
2020-05-27,8835.79,9230.21,8810.99,9210,6867.671019
2020-05-28,9209.99,9625.01,9105.79,9577.38,11523.40889
2020-05-29,9581.49,9610,9330,9421.04,7226.7739
2020-05-30,9428.52,9758.27,9326.28,9705.1,6781.841962
2020-05-31,9705.1,9711.7,9373.96,9446.19,5697.998384
2020-06-01,9444.61,10429.26,9416.5,10203.64,12109.1415
2020-06-02,10203.64,10241.26,9135.68,9525.73,22725.11942
2020-06-03,9522.52,9699.95,9380.99,9668.99,6928.763229
2020-06-04,9668,9888,9430,9791.92,8938.768889
2020-06-05,9791,9856.48,9592.74,9619.99,7157.370957
2020-06-06,9616.17,9744.39,9525.76,9669.85,4047.269247
2020-06-07,9673.08,9829.31,9356,9750.04,6762.651588
2020-06-08,9759.04,9813.67,9645,9783,5379.078016
2020-06-09,9786.64,9897.46,9566.81,9776.84,6922.797885
2020-06-10,9782.3,10011.4,9578,9894.32,7107.201403
2020-06-11,9894.32,9981.24,9078.91,9264.26,16389.44455
2020-06-12,9265.95,9555,9230,9463.07,6934.135335
2020-06-13,9465.92,9500,9345.71,9473.46,2938.682221
2020-06-14,9478.93,9479.59,9235.01,9329.99,3477.252359
2020-06-15,9329.99,9505.4,8900,9435.15,11765.11353
2020-06-16,9435.41,9596.31,9374.9,9530.3,6864.218224
2020-06-17,9530.62,9566.53,9230.32,9461.29,5902.36636
2020-06-18,9459.82,9478.69,9250,9374.78,3997.012847
2020-06-19,9374.83,9429.99,9225.15,9304.32,5305.907719
2020-06-20,9287.6,9400,9138,9355.46,3071.793848
2020-06-21,9355.93,9421.26,9271.52,9283.03,1435.211896
2020-06-22,9287.89,9798.76,9267.2,9683.12,6615.645409
2020-06-23,9688.26,9725.3,9571,9622.81,4866.114705
2020-06-24,9617.88,9666.35,9193.99,9286.06,10072.57542
2020-06-25,9286.3,9343.49,8989,9239.48,8701.246175
2020-06-26,9237.98,9289.71,9024.61,9158.26,7912.383755
2020-06-27,9158.13,9189,8830.63,9009.3,4399.676024
2020-06-28,9008.33,9191.72,8933.06,9118.01,3231.857281
2020-06-29,9118.8,9240.36,9014.92,9188.88,4942.72533
2020-06-30,9187.85,9201.95,9060,9132.96,2781.631251
2020-07-01,9136.89,9300,9089.8,9233.38,4321.565592
2020-07-02,9230.97,9268.54,8939,9092.92,6866.048974
2020-07-03,9091.68,9127.11,9027.17,9063.08,3510.003538
2020-07-04,9053.87,9196,9045.94,9138.52,2180.372372
2020-07-05,9142.16,9147.37,8905,9076.82,3067.877809
2020-07-06,9077.18,9376.34,9060.5,9348.22,5361.352849
2020-07-07,9346.9,9385.81,9201.78,9257.16,4702.825654
2020-07-08,9257.21,9479.57,9228.91,9437.16,6275.546664
2020-07-09,9441.76,9448.5,9157.11,9234.9,4575.44854
2020-07-10,9234.91,9318.92,9053.14,9283.53,3910.32679
2020-07-11,9291,9304.95,9180,9238.3,1453.165359
