공시일,종목코드,종목명,시장구분,직접/신탁,취득/처분,취득(처분)예정기간_시작일,취득(처분)예정기간_종료일,신고내역_수량,신고내역_금액,체결내역(누계)_수량,체결내역(누계)_체결수량비율,체결내역(누계)_금액
2018/07/23,122900,아이마켓코리아,KOSPI,신탁,취득,2018/07/23,2019/07/22,0,5000000000,711977.0,0.0,4996728150.0
2018/07/23,104460,디와이피엔에프,KOSDAQ,직접,취득,2018/07/26,2018/10/23,400000,1390000000,365484.0,91.37,1452165645.0
2018/07/23,094170,동운아나텍,KOSDAQ,신탁,취득,2018/07/23,2019/01/23,0,3000000000,480332.0,0.0,2988970370.0
2018/07/23,009140,경인전자,KOSPI,신탁,취득,2018/07/23,2019/07/23,0,2000000000,34114.0,0.0,781646450.0
2018/07/23,009140,경인전자,KOSPI,신탁,취득,2018/07/23,2020/07/23,0,2000000000,36186.0,0.0,625321450.0
2018/07/24,272290,이녹스첨단소재,KOSDAQ,신탁,취득,2018/07/24,2019/01/24,0,5000000000,90635.0,0.0,4968644500.0
2018/07/24,042500,링네트,KOSDAQ,신탁,취득,2018/07/24,2019/07/23,0,2000000000,541626.0,0.0,1993376605.0
2018/07/24,102210,에이치디,KOSDAQ,신탁,취득,2018/07/24,2019/01/24,0,3000000000,422648.0,0.0,2993461430.0
2018/07/25,024800,유성티엔에스,KOSDAQ,직접,취득,2018/07/26,2018/10/25,1592356,5000000000,733659.0,46.07,2436702380.0
2018/07/26,089030,테크윙,KOSDAQ,신탁,취득,2018/07/26,2019/01/25,0,3000000000,195133.0,0.0,2987807000.0
2018/07/27,040910,아이씨디,KOSDAQ,신탁,취득,2018/07/27,2019/01/28,0,1000000000,99621.0,0.0,997860870.0
2018/07/27,000660,SK하이닉스,KOSPI,직접,취득,2018/07/28,2018/10/27,22000000,1828200000000,22000000.0,100.0,1733740094200.0
2018/08/01,091700,파트론,KOSDAQ,직접,취득,2018/08/02,2018/11/01,500000,3520000000,500000.0,100.0,3675853810.0
2018/08/02,030200,KT,KOSPI,직접,취득,2018/08/03,2018/09/21,847620,24030027000,847620.0,100.0,24397910550.0
2018/08/06,140410,메지온,KOSDAQ,직접,처분,2018/08/07,2018/08/07,150000,8385000000,150000.0,100.0,8385000000.0
2018/08/08,138290,지성이씨에스,KONEX,직접,취득,2018/08/10,2018/08/21,80508,483048000,40250.0,50.0,241419500.0
2018/08/09,151860,KG에코솔루션,KOSDAQ,직접,취득,2018/08/10,2018/11/09,800000,3024000000,800000.0,100.0,3141746645.0
2018/08/13,056190,에스에프에이,KOSDAQ,신탁,취득,2018/08/14,2022/08/13,0,47813921176,1388408.0,0.0,50766843000.0
2018/08/13,036570,엔씨소프트,KOSPI,직접,취득,2018/08/14,2018/11/13,658000,237538000000,658000.0,100.0,274382945500.0
2018/08/13,056190,에스에프에이,KOSDAQ,신탁,취득,2018/08/14,2019/08/13,0,50000000000,449134.0,0.0,16736608900.0
2018/08/13,056190,에스에프에이,KOSDAQ,신탁,취득,2018/08/14,2021/08/13,0,50000000000,458922.0,0.0,15477357550.0
2018/08/14,012700,리드코프,KOSDAQ,신탁,취득,2018/08/14,2019/02/13,0,2000000000,334993.0,0.0,1996733350.0
2018/08/16,237880,클리오,KOSDAQ,신탁,취득,2018/08/16,2019/02/15,0,5000000000,207359.0,0.0,3118374350.0
2018/08/16,039830,오로라,KOSDAQ,직접,취득,2018/08/17,2018/09/17,100000,1000000000,84469.0,84.47,893941210.0
2018/08/17,004650,창해에탄올,KOSDAQ,직접,취득,2018/08/20,2018/11/12,150000,1792500000,150000.0,100.0,1962292450.0
2018/08/17,216050,인크로스,KOSDAQ,신탁,취득,2018/08/17,2019/02/18,0,5000000000,223546.0,0.0,4996859250.0
