,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
2494,2020-03-28,6384.56,6051.23,6382.8,60814.06,378476570.98,6252.49,direct,,730441642.06,2914340986.06,3644782628.12,1045799855.74,4701086229.38,5746886022.59,5989271800.63,20615428478.38,26604700279.01,10655242483.05
2495,2020-03-29,6286.96,5882.2,6252.49,47232.21,286789900.17,5882.2,direct,,547733464.44,1850397947.23,2398131352.85,782382422.23,3053198026.55,3835580507.61,5189007846.99,14949044844.14,20138052691.13,7149307230.83
2496,2020-03-30,6616.94,5874.8,5882.2,70623.69,445848282.11,6403.31,direct,,700318808.91,3597758505.89,4298077314.79,975663956.36,6373144262.72,7348808155.05,5941515833.29,24015964095.89,29957479929.18,11867849674.7
2497,2020-03-31,6531.66,6350.61,6403.31,36169.65,233613490.19,6423.61,direct,,678557913.88,2636347632.52,3314905546.4,876975261.5,4201355632.65,5078330958.39,5487975038.58,18392617551.21,23880592589.79,8817335763.03
2498,2020-04-01,6716.04,6168.0,6423.61,59228.61,377164250.74,6663.63,direct,,780299478.28,3605014700.83,4385314112.47,1050327024.69,6711796117.0,7762123141.69,6001475881.98,24304097172.15,30305573054.13,12125038594.73
2499,2020-04-02,7245.15,6585.75,6663.63,93059.32,635319847.54,6804.42,direct,,975561943.36,5393083607.25,6368645482.56,1307388534.53,7909763258.41,9217151792.95,6799708619.59,29918052590.02,36717761209.61,15337467177.8
2500,2020-04-03,7044.01,6618.82,6804.42,55578.32,379639119.54,6743.68,direct,,955827353.68,4227804107.89,5183631461.57,1256352372.01,6434052294.96,7690404734.41,6280872908.17,24274626596.71,30555499504.88,12839132391.91
2501,2020-04-04,7010.45,6671.05,6743.68,33774.99,230044243.33,6875.95,direct,,776618681.0,2823387530.67,3600006211.67,1026629873.23,4636440433.25,5663070306.48,5597770234.45,18748830608.31,24346600842.76,9742460188.61
2502,2020-04-05,6910.39,6689.07,6875.95,26776.41,182019861.58,6781.64,direct,,643036054.23,2063009813.45,2706045867.68,883106788.39,3581766907.58,4464873695.97,5076069950.4,15817767113.09,20893837063.49,7989302922.41
2503,2020-04-06,7359.05,6779.91,6781.64,78676.82,560075869.57,7347.22,direct,,1147726428.69,4784459923.32,5932186352.02,1834223480.78,7986472296.79,9820695704.1,8477441089.27,28760300568.87,37237741658.14,18304494563.25
2504,2020-04-07,7462.51,7084.52,7347.22,70648.16,516422836.71,7201.57,direct,,1258274441.92,4455547409.06,5713821850.98,1787427513.53,6490965090.43,8278392603.96,8194966016.3,25098126432.79,33293092449.09,17007793899.43
2505,2020-04-08,7425.85,7157.96,7201.57,60952.77,445330043.76,7367.37,direct,,1393069249.75,3338016766.77,4731086016.52,1839190099.45,5251623786.51,7090813885.96,7874080689.98,21411221248.62,29285301938.59,14852793779.12
2506,2020-04-09,7374.01,7124.88,7367.37,44071.93,321287689.9,7294.55,direct,,1071884665.45,2702663016.91,3774547682.36,1335899887.93,4259832866.72,5595732754.65,11133130409.39,18564046040.11,29697176376.55,11058123469.56
2507,2020-04-10,7304.8,6757.67,7294.55,63355.47,440132415.16,6876.49,direct,,1298559397.26,3667864066.43,4966423463.69,1586358313.86,5786605668.52,7372964051.15,7707086992.77,23639633624.44,31346720617.21,13915316531.38
2508,2020-04-11,6956.27,6785.52,6876.49,24917.32,171352839.69,6887.6,direct,,899746266.65,2225286926.97,3125033193.62,1241731654.76,3847018907.15,5088750630.78,5984910524.12,16308972819.46,22293883343.57,9877020482.18
2509,2020-04-12,7199.97,6802.16,6887.6,42382.58,297514761.29,6913.76,direct,,1023733994.17,2560463656.74,3584197581.78,1394476769.03,5076817662.96,6471294432.0,6487262797.78,20486391861.97,26973654659.75,11842766936.03
2510,2020-04-13,6913.76,6612.34,6913.76,63091.4,426458894.19,6859.43,direct,,899574459.81,3460946945.11,4360521404.92,1317819972.74,5921735835.64,7239555876.97,6777724791.28,23403472116.04,30181196907.32,13317196884.71
2511,2020-04-14,6986.75,6773.97,6859.43,44630.96,307409556.74,6879.44,direct,,774878176.19,2930595347.75,3705473523.94,1118935137.27,4838638301.29,5957573438.56,5809304583.14,20209378523.08,26018683106.22,10900333440.13
2512,2020-04-15,6937.49,6614.79,6879.44,49708.81,336722796.75,6629.54,direct,,714611574.57,2751361592.69,3465973167.25,1034026325.42,4778746192.24,5812772451.37,5279566372.03,19152250672.93,24431817044.95,10388034923.92
2513,2020-04-16,7207.11,6487.08,6629.54,98809.08,685621725.46,7114.55,direct,,1105413459.32,4767032797.42,5872446256.73,1718461426.63,7589301787.14,9307763213.76,7512234847.17,28296942890.32,35809177737.49,17170168101.34
2514,2020-04-17,7155.17,7005.79,7114.55,45840.75,324325510.78,7037.12,direct,,825908422.1,2382620630.25,3208529052.35,1205908398.34,3867111438.82,5073019837.16,5810531968.97,16551917695.36,22362449664.33,9993317421.97
2515,2020-04-18,7304.35,7028.43,7037.12,35919.74,258251102.86,7264.29,direct,,879626047.67,2136272378.48,3015898426.15,1362150118.34,3704823059.16,5066973104.86,6530367521.65,15860505005.8,22390872527.45,10911973025.74
2516,2020-04-19,7276.84,7072.33,7264.29,29493.83,211422409.66,7132.88,direct,,916815030.08,1944960693.17,2861775723.25,1390281838.02,3336376088.48,4726657926.5,6560808044.95,13570198490.72,20131006535.67,10459054001.54
2517,2020-04-20,7225.23,6770.07,7132.88,64707.0,452319848.99,6842.45,direct,,993339130.7,3317998499.23,4311337629.93,1573840956.53,5724239509.6,7298080466.14,7030271626.0,21004698607.71,28034970233.71,15216302371.02
2518,2020-04-21,6948.78,6779.51,6842.45,44531.91,305844254.34,6855.11,direct,,800849391.12,2355330449.88,3156179909.55,1198826709.58,4118319961.96,5317146671.54,5758032180.02,16718879930.33,22476912110.36,10956103945.64
2519,2020-04-22,7165.43,6831.44,6855.11,43780.72,308254465.67,7135.41,direct,,805593568.68,2430581873.36,3236175442.04,1217783299.72,4052214608.78,5269997908.49,6013506488.83,16855211558.3,22868717975.77,10844374711.77
2520,2020-04-23,7731.56,7041.2,7135.41,81106.87,599195847.97,7489.25,direct,,1088990872.6,4178507883.53,5267498756.13,1661545458.06,5625941076.35,7287486609.3,7583956134.69,22075497760.23,29659453894.92,14308746108.53
2521,2020-04-24,7607.28,7408.35,7489.25,51734.5,389027134.45,7509.44,direct,,917549412.07,2782346269.14,3699895681.2,1415580203.81,4120775312.43,5536355516.24,7000427102.82,17284701679.12,24285128706.85,10999024877.77
2522,2020-04-25,7708.4,7445.98,7509.44,30165.48,227962632.37,7546.92,direct,,911891022.96,2282971600.95,3194862623.91,1395999375.8,3360391559.81,4756390935.61,6920667899.44,15547107109.57,22467774933.54,10188584331.6
2523,2020-04-26,7705.3,7497.88,7546.92,33092.14,251857766.26,7701.35,direct,,965565535.79,2444162123.81,3409727659.6,1503466788.62,3626375799.71,5129842588.33,7263866649.82,16418277101.51,23682143674.32,10705082511.11
2524,2020-04-27,7790.33,7639.98,7701.35,48551.15,374439201.77,7787.41,direct,,1147985795.47,3113154050.17,4261139845.64,1775787866.26,4209408392.5,5985196258.77,7883621192.2,18511896193.37,26395517385.57,12687890911.2
2525,2020-04-28,7791.85,7671.26,7787.41,38507.32,297442241.62,7760.32,direct,,1078675167.62,2519368331.99,3598043499.61,1624464526.27,3482954461.87,5107418910.53,7364890023.08,15810273689.56,23175163712.65,11209485407.76
