price_1month,price_3month,price_6month,종목코드,공시일
2145,4770,5968,215100,2019-01-07
17100,19800,13050,166090,2019-01-08
6111,7589,10268,238490,2019-01-09
34200,36100,29800,038290,2019-01-11
5760,4775,4670,091970,2019-01-15
8620,7120,5860,095190,2019-01-16
8910,8090,7160,011320,2019-01-17
8270,8780,10950,018290,2019-01-17
7530,6190,5550,126870,2019-01-18
12750,14600,13500,136540,2019-01-22
1990,1930,2340,058970,2019-01-24
6500,5240,4150,010040,2019-01-28
6500,5240,4150,010040,2019-01-28
22100,23500,19450,000060,2019-01-28
133000,119500,138500,035420,2019-01-30
8740,9190,7950,065680,2019-02-07
33700,35550,40000,039840,2019-02-11
35700,34450,25900,079440,2019-02-11
2600,2610,1720,187790,2019-02-11
8640,7810,5920,094850,2019-02-11
5870,5200,5510,026040,2019-02-11
150151,96823,61598,025620,2019-02-12
4510,7220,7480,038680,2019-02-12
9400,10900,11400,122900,2019-02-12
12550,9900,8670,206640,2019-02-12
41050,38900,34100,005090,2019-02-12
24300,22400,15150,080160,2019-02-13
14600,13100,13750,042420,2019-02-13
7680,8400,6040,060480,2019-02-15
4080,3830,3610,008370,2019-02-19
14100,15750,19650,001070,2019-02-19
34450,29850,38400,012450,2019-02-20
27451,25093,20679,009830,2019-02-20
21469,23607,21376,119610,2019-02-20
3385,2605,2285,232140,2019-02-20
198000,195000,128000,090430,2019-02-20
73032,69041,54674,002790,2019-02-20
4670,4730,4040,093520,2019-02-20
37200,45150,36350,214450,2019-02-21
5250,7730,6420,033290,2019-02-22
9920,10150,12650,079960,2019-02-25
2170,1735,1375,036710,2019-02-26
5790,5110,4850,010040,2019-02-27
5790,5110,4850,010040,2019-02-27
24150,22100,17700,000060,2019-02-27
5040,4792,5545,094170,2019-02-27
1365,1440,1375,023460,2019-02-27
10550,10700,9470,065510,2019-03-06
4000,3800,3770,066670,2019-03-07
104000,99900,93500,078340,2019-03-07
15292,17952,12200,038540,2019-03-08
3475,3280,2995,079950,2019-03-11
3151,4078,3602,042500,2019-03-13
29298,26662,35400,160600,2019-03-15
18400,38900,72000,032500,2019-03-19
4720,4608,3774,043650,2019-03-20
49000,44450,39900,031390,2019-03-20
46664,39221,33346,140410,2019-03-21
46664,39221,33346,140410,2019-03-21
23150,20000,16150,123420,2019-03-22
22000,21050,21550,069260,2019-03-22
45296,38854,34614,140410,2019-03-25
45296,38854,34614,140410,2019-03-25
5680,5610,5240,068790,2019-03-25
10700,11450,10950,033660,2019-03-27
9601,8393,6537,192650,2019-03-27
2935,2840,2405,039420,2019-03-29
8850,7840,7320,000700,2019-03-29
3450,3640,3370,077500,2019-03-29
1555,1385,1105,008040,2019-04-02
1555,1385,1105,008040,2019-04-02
3345,3325,3050,035200,2019-04-04
2860,2825,2875,015230,2019-04-04
11400,10350,9770,000050,2019-04-05
2340,2280,2130,101060,2019-04-05
142680,130097,125868,145020,2019-04-09
9000,8300,8900,110990,2019-04-10
17300,17950,14950,121600,2019-04-11
5330,5230,4410,089470,2019-04-17
8820,7440,6790,048910,2019-04-18
1323,1451,1491,038110,2019-04-22
1310,1245,1055,008040,2019-04-24
1310,1245,1055,008040,2019-04-24
2245,2340,2150,058970,2019-04-25
13200,12400,12550,003540,2019-04-26
26450,25550,27300,084670,2019-04-29
5700,5400,5360,093190,2019-04-29
13817,11376,8095,091120,2019-04-29
1970,1815,1760,208710,2019-04-30
3770,2661,2774,091810,2019-05-08
6420,11650,7970,038160,2019-05-09
7640,6060,6300,094850,2019-05-09
25860,16000,16000,065560,2019-05-09
11370,9542,11671,238490,2019-05-10
45500,41050,43350,055550,2019-05-10
14850,12950,12550,138040,2019-05-13
345488,289480,232738,086900,2019-05-13
