1m_rv,1w_rv,1y_rv,2w_rv,3m_rv,6m_rv,Date
69.988630945696,67.7437683734595,101.601630970702,74.1495203270183,62.8540841860372,75.827625196192,2018-08-17
63.7463086072898,58.6804802319169,101.558354146975,71.8147671655448,62.7289143234624,75.6607175300748,2018-08-18
63.8753350421791,57.9138606925226,101.461893684497,69.1415572246224,62.65768474972,75.5124365749363,2018-08-19
63.9421644197384,58.0187639216603,101.461567050748,69.3235807110294,62.6259634376094,74.9681671811394,2018-08-20
63.9983753272963,45.7354665810892,101.456904215467,68.9825757864424,62.5265216612966,74.458319233305,2018-08-21
65.214369929059,39.293600137383,101.437395640779,59.2308929927849,62.8579097315023,74.2576853462585,2018-08-22
64.8743172682358,45.0924042974386,101.317287659891,59.0128472805952,62.1931907106897,73.9889357322181,2018-08-23
62.441421740008,44.9518107255459,101.33391033716,57.6645674066862,61.8527214623659,73.7603155172538,2018-08-24
61.7780515771443,45.7621996677889,101.287910331107,52.7266211681894,62.0420822246105,73.6284289459664,2018-08-25
61.5897088065498,44.0997367600333,101.280450051801,51.7701886547198,61.9883626195598,73.2430084184269,2018-08-26
61.0257736338168,43.3967545125175,101.281593867671,51.4848853459932,61.8418852738727,72.5817782001889,2018-08-27
61.9823107158158,45.6683810953975,101.344450080723,45.9611557495135,62.2704655203556,72.6836228867312,2018-08-28
62.2572589034589,40.9587212837103,101.279799376933,40.4326640043581,62.0779505613352,72.5238254589326,2018-08-29
62.4363987897177,35.3070684289709,101.245971400409,41.3387417548297,61.7455437372136,72.3696796485126,2018-08-30
62.0010003029514,35.6476537228471,101.236901264429,41.1183359006535,61.7041084532423,72.2150965872313,2018-08-31
60.3242736805956,33.9676145479739,101.215217177713,40.3419352112717,61.7619900783117,72.1492328169767,2018-09-01
60.6754291275634,32.7258404572657,101.143488173128,39.1461310016227,61.7730590973576,71.9837228841699,2018-09-02
59.7818745258441,33.028473870912,101.105044454178,38.8587853759357,61.7325549163798,71.7986138785087,2018-09-03
57.8336726160642,25.1609351216463,100.996172878831,37.1846019133905,61.624823148788,71.7831630193813,2018-09-04
57.3122070206951,39.3445784270851,100.964885249044,40.8557661611149,61.9909449015763,71.8980743591501,2018-09-05
67.3938495931777,82.3258870904715,101.370681691172,66.8672720053444,65.2375883183106,73.0528258462637,2018-09-06
67.157745949426,81.5103546431686,101.366481710992,66.0465406652294,65.2002347521488,72.5764462487195,2018-09-07
61.4643252891202,79.5439480508344,101.27527815622,65.2180652925484,65.3008114391352,71.9776818346057,2018-09-08
61.2987754298768,77.7956291944421,101.196895834749,66.8729403556517,65.570919725625,70.943862457181,2018-09-09
60.544620052553,77.9316377202262,101.144930470157,67.0923880500414,64.1310972926597,70.6008456291332,2018-09-10
58.2383140141717,76.6430112510579,101.133185900752,63.2887139492278,62.9099522878147,70.111701337017,2018-09-11
57.620658163806,74.1087060145553,101.11179538222,62.500909152253,62.8338463139558,69.2501353904623,2018-09-12
58.0396626520947,35.5204036633533,100.785711873509,64.0165057244498,62.3193242038607,69.1110224792542,2018-09-13
55.6109362882906,36.1927910301469,100.321690912741,63.9442902685405,62.0463639018883,68.6736982426781,2018-09-14
52.8431364411297,33.1910057131269,99.3501703572507,63.0300141111142,61.9063448189722,67.3262916054584,2018-09-15
52.7140545812325,23.9874593826218,98.5590781394169,61.6251031015484,61.820570912664,67.1790125145686,2018-09-16
52.7191360954752,26.5676778019178,98.4695421106095,61.8247379904196,61.9210260841708,66.9064199055018,2018-09-17
53.0752520087619,32.5307566195902,98.174559364983,62.0802713502826,62.0163620523307,66.4925509004615,2018-09-18
52.8640118725636,32.7336123692425,98.119754579845,60.1080743678304,61.6769594090904,65.2383057037685,2018-09-19
52.8130996620483,29.1535058651279,98.1108710425024,32.4795524661896,61.6638691807854,65.0167938254135,2018-09-20
54.0544608489558,38.210346756146,98.0437955413537,37.3023246327275,62.0232389290492,64.8615004789654,2018-09-21
52.9114211900427,39.8907661750133,97.9258542826466,36.7290364783924,60.797041346554,64.7957734277692,2018-09-22
51.7882678098014,39.7487816584698,97.8614949180358,32.8343190094673,59.8449124012501,64.5513853316619,2018-09-23
51.5350953864327,37.8564207171644,97.837371410131,32.7802927291245,59.6445445848051,64.2801693746679,2018-09-24
51.83694363351,40.7980799275715,97.8030758444878,37.0014296467879,59.5812105144094,64.2163449380657,2018-09-25
51.9920960108084,41.2219739946583,97.7515703701638,37.2553575199149,59.5573949475097,63.9245302870969,2018-09-26
52.1234048672318,41.4764066680373,97.6844317633881,35.9636814592366,59.5006228333997,63.6916905323884,2018-09-27
51.1263650698932,36.6059984368312,97.5972516121392,37.4902977056699,59.6502416807246,63.7519665789875,2018-09-28
51.1542280186943,36.2348737726385,97.5927988860083,38.7129788497974,59.3380721583506,63.2565596151319,2018-09-29
50.9264305084968,36.4853859242267,97.5433581139249,38.7349873820945,57.4387074650879,61.8772185926733,2018-09-30
51.045490879361,35.940501169046,97.5333869670273,37.3403938885432,57.4241608926018,61.6424462606556,2018-10-01
50.4499007830031,27.422075161776,97.5051073744319,34.7424855884689,57.2069168070824,61.4287053756121,2018-10-02
50.4725650489834,27.9587962078252,97.4835314739692,35.3083552974665,56.9182610216637,61.0242174297485,2018-10-03
50.6349149189198,28.0731709690885,97.4745565673391,35.4269779172722,56.8762255775511,60.5572423491178,2018-10-04
48.882917424219,21.0167168719547,97.4367160193699,29.9441631839977,56.7431439607543,60.0015359422664,2018-10-05
32.946641107075,16.4606128130646,97.391788149368,28.3853002658365,56.6936793908121,59.912140043978,2018-10-06
32.8255841004937,15.9472396171548,97.386920604653,28.2238090294701,56.6764774265319,59.6343752470124,2018-10-07
32.1000594886276,16.2948148416986,97.3277028328994,27.93723463801,56.3973035862863,59.5802072205427,2018-10-08
30.1991785391125,16.4907592345642,97.2730576850832,22.6838488228224,56.3803078390224,59.387461006661,2018-10-09
29.9066502474036,14.4600707298103,97.1996040717766,22.3111058332154,55.7035409637113,59.1768848285897,2018-10-10
33.5964040410572,31.2431071579227,97.295101850403,30.4375518444045,55.9701186318907,59.4099015848947,2018-10-11
33.7239648526407,32.0327692575705,97.0424239755048,27.3945050800307,55.7474242684172,58.9723023245111,2018-10-12
32.6124732778393,31.4260824982709,96.5040407692154,26.1831663972854,55.6973436410104,57.1699576905986,2018-10-13
32.332617523408,32.4995244444433,96.4896160565015,26.1557735315613,55.7024184812836,57.1095719369433,2018-10-14
35.6817869785261,46.2273526935665,96.5447186355878,34.7103020390781,56.3071380640491,57.2736715228863,2018-10-15
