stock_code,thstrm_amount_당기순이익,thstrm_amount_매출액,thstrm_amount_영업이익,thstrm_amount_유동자산,frmtrm_amount_당기순이익,frmtrm_amount_매출액,frmtrm_amount_영업이익,frmtrm_amount_유동자산,사업연도,직전분기코드,종목명
012700,"6,931,150,689","71,181,116,266","8,972,282,635","828,299,894,114","7,311,665,519","90,029,066,949","9,196,955,172","773,215,502,991",2018,11012,리드코프
237880,"-1,722,752,172","45,642,500,335","-658,896,590","182,049,219,782","3,112,039,545","41,635,828,527","707,910,265","180,174,282,224",2018,11012,클리오
039830,"-17,291,055","23,247,675,635","1,204,271,248","47,841,493,204","744,689,747","25,309,263,597","1,770,082,172","61,087,655,334",2018,11012,오로라
004650,"3,214,472,961","25,100,477,350","6,214,649,675","39,590,243,239","2,881,106,486","27,263,478,711","4,342,838,241","44,759,764,890",2018,11012,창해에탄올
216050,"2,306,137,713","8,070,014,121","2,917,195,420","114,255,704,918","2,277,882,677","9,527,815,228","2,788,503,947","109,507,191,239",2018,11012,인크로스
062860,"-4,609,967,174","9,095,943,424","-4,265,113,579","38,129,423,115","-126,000,640","17,327,746,663","-121,659,585","48,728,902,448",2018,11012,티엘아이
099190,"5,477,333,371","35,292,015,748","4,763,197,199","88,173,202,882","6,321,844,156","32,962,458,182","6,807,136,005","86,572,164,223",2018,11012,아이센스
023460,"2,708,337,893","3,564,045,824","3,386,607,937","59,783,005,731","709,956,072","1,688,658,738","983,635,742","42,099,420,132",2018,11012,CNH
069920,"-1,291,944,938","9,109,442,295","-1,004,575,223","54,188,188,118","-1,172,734,105","8,022,212,987","-396,095,837","61,888,230,204",2018,11012,아이에스이커머스
260660,"1,416,898,222","23,467,711,660","1,664,646,933","62,592,339,026","1,752,525,977","17,696,694,647","2,472,569,438","29,836,978,243",2018,11012,알리코제약
226440,"-665,367,214",,"-674,563,810","9,329,080,498","262,358",,"-7,884,280","9,958,033,182",2018,11012,한송네오텍
177350,"1,687,879,770","19,195,903,859","1,404,883,504","61,470,920,968","2,955,817,108","20,922,776,305","2,634,462,197","65,905,135,690",2018,11012,베셀
083310,"6,457,633,823","50,735,114,628","6,724,686,435","94,910,478,561","8,415,847,378","66,153,238,844","10,053,712,764","87,080,099,376",2018,11012,엘오티베큠
003380,"-3,064,461,256",,"-503,009,601","12,193,628,160","-5,323,309,616",,"-328,710,692","12,266,944,191",2018,11012,하림지주
023150,"1,882,563,973","12,406,717,038","2,563,024,158","18,192,792,296","1,954,188,083","12,353,794,815","3,029,546,592","18,235,352,380",2018,11012,MH에탄올
069080,"12,767,729,677","46,730,348,070","13,468,880,923","245,537,949,795","10,663,886,614","42,152,484,373","11,780,296,573","212,552,366,539",2018,11012,웹젠
145020,"12,940,710,298","39,183,512,168","11,499,608,100","648,363,199,110","12,068,340,435","23,593,827,554","15,481,289,865","580,158,587,160",2018,11012,휴젤
260930,"2,379,818,459","26,649,501,463","-221,118,253","146,380,161,942","9,686,101,216","44,609,717,117","12,111,620,016","162,539,842,376",2018,11012,씨티케이
241790,"2,362,817,954","16,367,613,591","3,009,682,644","26,088,285,005","2,461,425,285","12,460,022,121","2,952,707,603","24,248,981,200",2018,11012,티이엠씨씨엔에스
122640,"-4,027,581,315","22,453,470,542","-1,767,383,671","77,325,156,977","6,746,266,297","51,402,543,133","6,671,035,187","77,719,725,697",2018,11012,예스티
084670,"406,195,255","32,915,172,124","930,282,193","38,281,334,008","2,381,640,289","33,766,096,946","3,157,600,991","25,191,506,452",2018,11012,동양고속
001060,"8,252,003,298","132,674,771,642","3,732,980,442","402,599,462,647","-1,399,672,673","121,292,120,807","3,646,798,759","410,292,589,107",2018,11012,JW중외제약
004700,"3,905,769,549","33,435,278,500","3,680,281,335","78,206,833,498","7,678,540,950","49,930,557,556","8,261,856,328","83,713,895,299",2018,11012,조광피혁
052790,"1,437,483,833","8,207,225,630","1,652,486,213","60,205,111,739","1,647,167,212","8,205,288,928","1,601,628,735","60,070,319,354",2018,11012,액토즈소프트
091340,"2,749,156,987","6,472,459,379","181,525,490","40,433,413,600","994,917,930","6,122,678,465","814,473,786","38,717,653,263",2018,11012,S&K폴리텍
108230,"11,691,827,918","94,077,075,865","1,462,066,730","352,383,036,176","89,574,934,121","590,013,069,638","103,114,185,338","353,368,618,319",2018,11012,톱텍
216050,"2,306,137,713","8,070,014,121","2,917,195,420","114,255,704,918","2,277,882,677","9,527,815,228","2,788,503,947","109,507,191,239",2018,11012,인크로스
031310,"796,403,120","6,679,866,985","625,666,265","26,730,813,234","151,492,395","6,644,316,620","89,887,168","26,869,379,926",2018,11012,아이즈비전
250000,"1,250,644,086","11,104,257,669","962,597,332","46,881,987,997","1,355,392,425","10,255,386,307","2,126,828,909","49,237,603,851",2018,11012,보라티알
026960,"28,308,288,388","118,244,860,585","7,322,844,639","657,953,671,540","31,532,176,972","124,750,056,129","8,792,058,176","643,680,009,967",2018,11012,동서
049430,"3,455,223,239","13,967,105,659","3,391,008,401","79,637,383,952","7,039,654,155","16,547,405,718","4,738,228,888","76,701,463,156",2018,11012,코메론
091700,"-4,960,355,007","156,970,720,802","4,792,197,833","138,509,006,801","806,723,309","213,074,082,953","3,761,718,248","148,540,840,258",2018,11012,파트론
070590,"72,032,732","16,668,681,607","138,629,288","24,780,950,754","-411,326,509","8,927,156,154","-1,386,361,185","30,616,631,954",2018,11012,한솔인티큐브
065450,"533,044,776","10,495,929,203","682,317,740","27,613,897,626","-65,634,593","12,189,832,500","39,016,437","23,440,578,172",2018,11012,빅텍
041930,"1,770,741,773","31,934,269,797","938,911,325","66,468,492,563","1,877,922,233","31,601,427,046","1,463,497,836","67,812,529,256",2018,11012,동아화성
016250,"4,125,707,947","198,433,716,417","8,556,391,577","326,756,810,314","3,077,948,923","223,769,418,336","10,008,711,507","394,968,860,145",2018,11012,SGC E&C
090460,"53,014,536,451","193,194,311,536","69,684,857,139","312,986,106,250","19,884,544,879","167,669,672,153","19,943,337,688","297,934,977,720",2018,11014,비에이치
099410,"-628,541,546","4,295,485,583","-722,320,330","15,740,041,455","2,235,106,159","3,969,085,784","-149,994,650","15,289,438,232",2018,11014,동방선기
090460,"53,014,536,451","193,194,311,536","69,684,857,139","312,986,106,250","19,884,544,879","167,669,672,153","19,943,337,688","297,934,977,720",2018,11014,비에이치
080010,"1,486,033,228","10,489,612,177","1,898,457,767","18,724,996,874","1,370,932,198","11,488,944,225","1,635,399,271","27,768,616,128",2018,11014,이상네트웍스
073110,"-369,646,788","22,683,570,501","1,209,437,821","93,757,380,312","61,744,780","22,387,052,458","-448,181,542","97,267,083,909",2018,11014,엘엠에스
099440,"1,228,781,929","39,304,086,270","1,764,608,398","130,412,907,479","1,709,782,858","41,068,215,534","707,887,007","123,226,086,587",2018,11014,스맥
219750,"-1,119,671,859","3,306,999,090","-1,066,741,955","26,640,819,690","-1,437,508,157","2,944,656,012","-1,570,192,148","25,868,712,105",2018,11014,지티지웰니스
050540,"-1,165,301,713","34,974,394,265","-368,910,407","29,760,737,343","-1,122,059,528","30,420,783,277","-897,928,384","24,524,324,194",2018,11014,엠피씨플러스
060980,"-8,046,172,603","176,973,539,042","16,869,020,572","283,754,650,489","-9,054,090,246","149,401,534,528","-8,808,098,426","320,029,935,819",2018,11014,HL홀딩스
089030,"9,239,976,467","51,774,633,520","9,513,598,079","161,880,730,016","10,422,075,919","51,357,533,783","12,661,650,805","170,474,875,036",2018,11014,테크윙
039440,"5,817,160,873","63,016,222,993","5,816,977,759","179,962,951,173","9,374,437,480","88,902,120,759","11,916,016,297","114,873,973,961",2018,11014,에스티아이
082920,"4,096,775,783","24,116,081,109","5,782,111,888","56,709,261,280",-,-,-,"61,895,781,786",2018,11014,비츠로셀
069540,"-7,067,067,114","8,590,571,045","-2,371,265,895","70,489,085,059","1,255,841,281","23,976,104,836","2,138,924,545","46,375,611,104",2018,11014,빛과전자
272290,"9,197,562,329","73,083,261,393","10,311,317,004","176,204,875,375","9,989,628,110","86,161,860,008","12,480,477,750","116,075,951,013",2018,11014,이녹스첨단소재
033290,"9,080,806,425","37,230,681,750","8,612,818,060","91,634,177,101","8,700,299,842","24,341,096,023","6,644,630,279","76,688,000,599",2018,11014,코웰패션
251370,"1,814,976,570","14,651,642,151","2,727,104,746","40,627,159,263","2,849,553,468","13,654,065,563","3,089,349,805","40,422,802,868",2018,11014,와이엠티
082210,"464,645,118","30,788,459,394","2,125,830,784","92,913,226,060","2,888,151,897","37,121,505,831","5,300,192,556","77,185,500,294",2018,11014,옵트론텍
100030,"443,532,983","1,695,787,549","445,597,622","10,484,395,283","553,208,168","1,826,687,740","461,075,593","9,939,995,054",2018,11014,인지소프트
255220,"2,277,261,100","28,256,350,511","3,107,423,853","88,589,946,168","1,659,000,762","23,688,758,835","2,467,125,237","49,244,671,813",2018,11014,SG
044450,"6,258,212,721","53,171,010,686","12,514,089,870","37,926,098,871","7,752,483,233","45,381,771,719","11,577,595,667","66,287,525,169",2018,11014,KSS해운
008370,"94,253,538","17,688,499,345","-115,337,159","38,713,764,613","794,077,167","17,689,787,683","686,286,435","37,100,467,705",2018,11014,원풍
112240,"-3,483,007,470","9,597,022,041","-1,436,385,550","58,221,422,403","-2,141,382,488","13,070,196,851","-1,295,139,020","69,596,237,439",2018,11014,에스에프씨
064960,"8,454,984,812","196,038,281,852","11,664,952,987","425,331,899,851","18,408,329,538","196,232,932,202","18,304,821,789","478,854,775,785",2018,11014,SNT모티브
050120,"-1,346,406,585","6,789,367,448","116,684,612","44,165,412,026","281,073,867","7,432,930,511","360,507,745","44,761,948,600",2018,11014,ES큐브
171090,"4,086,201,741","29,467,984,714","5,247,537,671","91,283,041,083","2,194,739,902","21,345,203,573","2,027,625,990","84,505,575,308",2018,11014,선익시스템
088130,"4,776,622,793","47,012,783,579","6,642,136,812","112,372,938,737","16,079,469,320","25,270,743,128","4,062,996,450","90,545,893,693",2018,11014,동아엘텍
110990,"124,319,018","17,553,808,773","-473,239,247","234,162,845,006","304,556,234","14,012,703,798","-242,979,096","174,469,835,286",2018,11014,디아이티
214180,"3,523,785,234","12,403,854,669","4,571,356,960","25,377,601,833","3,166,292,278","10,337,255,185","3,806,512,479","33,288,194,778",2018,11014,헥토이노베이션
002840,"5,576,212,684","51,724,857,651","6,408,875,190","100,958,923,275","3,540,070,651","47,135,465,009","3,637,976,542","76,185,830,975",2018,11014,미원상사
049080,"-1,320,523,475","18,946,505,885","-757,419,087","95,458,444,034","3,130,829,764","23,992,878,905","3,412,919,203","69,139,155,881",2018,11014,기가레인
035080,,,"-604,192,764","1,914,557,697",,,"-584,907,417","3,201,309,260",2018,11014,그래디언트
036830,"26,379,682,359","210,584,508,629","38,756,973,734","327,831,485,942","7,063,428,352","169,796,515,830","29,472,961,317","342,069,643,141",2018,11014,솔브레인홀딩스
036580,"6,015,345,005","218,591,563,303","6,385,688,765","408,311,384,191","5,272,858,711","256,456,894,636","8,247,104,172","330,092,197,810",2018,11014,팜스코
219420,"641,469,784","2,683,958,558","566,956,759","31,013,219,765","691,583,154","2,850,538,388","803,458,755","12,056,958,361",2018,11014,링크제니시스
008500,"-2,119,806,481","9,352,776,450","-2,668,655,095","30,930,153,347","-461,179,758","8,640,669,001","-1,037,188,131","27,500,135,585",2018,11014,일정실업
019680,"3,428,638,134","171,256,681,124","8,731,370,043","279,540,689,204","13,208,783,473","186,505,375,345","11,585,447,707","300,034,318,826",2018,11014,대교
122350,"510,490,745","71,342,778,203","2,273,649,682","105,660,199,109","5,047,150,578","68,348,787,707","3,551,882,868","79,182,087,683",2018,11014,삼기
093190,"2,547,244,430","19,179,618,129","2,287,351,529","117,999,227,305","4,715,367,431","20,909,346,333","4,107,633,564","108,024,934,294",2018,11014,빅솔론
092070,"3,672,028,885","18,836,019,644","5,069,215,958","41,965,430,406","3,612,990,255","20,711,693,068","4,056,512,080","38,984,962,143",2018,11014,디엔에프
155650,"4,951,942,591","73,799,732,308","6,385,205,126","125,665,007,067","3,229,427,217","39,029,915,633","3,449,171,078","175,237,916,807",2018,11014,와이엠씨
101240,"1,360,681,371","10,230,849,874","1,649,750,578","35,152,575,548","1,745,610,898","10,621,365,461","1,908,881,878","36,444,619,907",2018,11014,씨큐브
119850,"1,923,400,171","22,316,395,264","877,722,051","56,998,221,305","1,109,318,276","22,042,346,809","1,298,146,594","57,218,331,630",2018,11014,지엔씨에너지
002170,"6,008,998,206","46,278,989,555","7,581,121,973","223,338,113,750","5,785,152,294","41,717,623,277","6,829,294,460","211,238,205,062",2018,11014,삼양통상
085810,"34,819,866",,"1,775,537,725","67,790,108,932","2,490,611,398",,"2,208,954,255","65,950,449,145",2018,11014,알티캐스트
258830,"1,057,033,950","3,727,040,352","1,074,561,430","24,386,520,995","1,407,717,282","4,168,695,995","2,242,292,817","10,409,449,516",2018,11014,세종메디칼
145020,"19,763,691,891","31,661,798,873","352,777,815","629,884,027,585","14,214,528,802","23,456,411,450","15,700,043,581","580,158,587,160",2018,11014,휴젤
002700,"4,127,301,999","58,825,627,325","5,019,081,355","77,869,432,659","2,789,690,428","43,249,700,769","3,537,460,445","53,308,099,431",2018,11014,신일전자
005360,"-1,379,938,016","21,517,074,750","-222,366,618","27,523,179,367","-410,896,657","23,329,615,321","54,598,311","27,798,903,416",2018,11014,모나미
046110,"1,792,723,619","29,439,397,958","1,999,329,280","57,044,413,345","2,245,194,405","31,241,934,261","2,168,734,197","62,877,623,045",2018,11014,한일네트웍스
033160,"779,158,846","86,307,557,766","2,604,999,084","126,220,424,908","941,535,734","90,902,343,137","1,733,724,581","108,178,752,089",2018,11014,엠케이전자
018290,"1,270,330,556","12,803,995,527","1,350,707,395","17,147,139,985","72,798,018","9,842,738,598","202,215,789","13,456,501,786",2018,11014,브이티
059210,"1,396,269,775","11,788,326,537","1,398,565,421","39,396,230,400","1,476,057,638","11,171,833,391","2,547,725,491","31,720,535,633",2018,11014,메타바이오메드
042500,"1,425,619,817","37,488,150,153","1,123,106,716","70,284,994,075","1,324,380,516","40,723,031,873","2,126,834,460","71,905,682,363",2018,11014,링네트
171120,"-108,277,310","34,981,854,282","-34,174,364","48,595,742,584","1,322,475,463","35,136,068,691","1,475,741,003","59,926,454,932",2018,11014,라이온켐텍
000050,"5,963,666,291","66,783,712,661","9,549,746,298","79,660,835,807","7,983,054,040","65,754,673,980","7,631,640,272","71,472,590,490",2018,11014,경방
181710,"13,276,594,938","56,402,471,671","7,936,558,425","132,383,027,328","12,695,382,328","60,082,017,174","12,043,907,239","201,419,758,754",2018,11014,NHN
004270,"277,262,464","16,322,562,521","876,392,739","65,729,060,253","886,649,256","24,662,617,994","1,793,201,460","49,948,279,215",2018,11014,남성
251270,"10,399,596,484","296,417,200,260","11,022,236,090","1,717,662,500,669","25,356,292,439","385,788,455,475","31,955,472,591","2,135,945,646,515",2018,11014,넷마블
084010,"-11,554,338,872","244,616,555,315","-5,976,635,157","307,024,705,438","3,098,359,170","256,769,105,919","3,711,646,574","387,381,014,259",2018,11014,대한제강
001520,"3,173,972,852","88,178,374,063","2,322,174,168","261,344,216,520","5,265,277,569","106,247,917,196","4,457,386,413","438,316,221,678",2018,11014,동양
219550,"-324,885,614","11,495,845,038","-494,649,602","32,172,370,640","1,878,104,604","15,305,687,283","2,275,015,536","39,660,789,419",2018,11014,디와이디
094840,"663,012,996","3,671,561,510","610,194,606","36,740,765,501","650,524,270","3,709,835,878","217,843,234","33,195,678,848",2018,11014,슈프리마에이치큐
136510,"1,724,764,201","8,843,737,371","2,183,969,713","24,826,974,487","1,301,385,454","6,858,846,927","1,191,314,845","22,157,488,246",2018,11014,스마트솔루션즈
290740,"3,725,662,200","12,508,028,233","4,738,831,449","69,758,803,984","2,319,196,000","14,234,317,220","4,887,811,361","32,449,759,640",2018,11014,액트로
024800,"74,954,796","83,057,642,250","645,227,037","122,716,672,327","1,282,565,469","91,447,981,900","2,728,478,389","130,274,131,543",2018,11014,유성티엔에스
